date,open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
26/08/2021,1.62994E+12,0.00036386,0.00036638,0.0003449,0.0003466,9804888,1.63002E+12,3510.872649,14053,4045920,1445.140248,0
27/08/2021,1.63002E+12,0.0003461,0.0003643,0.0003431,0.0003638,6875797,1.63011E+12,2421.404603,11479,3468531,1222.576637,0
28/08/2021,1.63011E+12,0.0003639,0.0003648,0.0003518,0.0003529,4715298,1.6302E+12,1683.543848,7249,2241052,801.5054246,0
29/08/2021,1.6302E+12,0.0003533,0.0003601,0.0003493,0.0003539,7194231,1.63028E+12,2561.323076,9311,3476473,1238.53127,0
30/08/2021,1.63028E+12,0.000354,0.0003587,0.0003315,0.0003407,8869450,1.63037E+12,3099.384252,10788,3484114,1213.243989,0
31/08/2021,1.63037E+12,0.0003407,0.00036674,0.00033085,0.0003456,17840592,1.63045E+12,6183.913812,22545,8094022,2802.996586,0
01/09/2021,1.63045E+12,0.0003459,0.000347,0.00031822,0.0003229,12776163,1.63054E+12,4246.084043,17552,5611510,1869.344239,0
02/09/2021,1.63054E+12,0.000323,0.0003488,0.0003219,0.000331,12630969,1.63063E+12,4230.354058,17372,6447389,2162.710303,0
03/09/2021,1.63063E+12,0.0003312,0.0003384,0.0003174,0.0003279,12931486,1.63071E+12,4246.914958,18832,5527351,1812.942891,0
04/09/2021,1.63071E+12,0.0003278,0.0003288,0.0003196,0.0003229,8522979,1.6308E+12,2769.664115,15752,5266699,1712.72421,0
05/09/2021,1.6308E+12,0.0003228,0.0003325,0.00032,0.0003309,6338718,1.63089E+12,2061.114289,10172,3600136,1170.24573,0
06/09/2021,1.63089E+12,0.0003308,0.0003575,0.0003308,0.0003537,14590763,1.63097E+12,5061.291948,26341,7005943,2430.513741,0
07/09/2021,1.63097E+12,0.0003539,0.0003544,0.0003066,0.0003287,23934518,1.63106E+12,7902.705011,43222,12360243,4074.375967,0
08/09/2021,1.63106E+12,0.0003287,0.0003304,0.0003113,0.0003139,10474203,1.63115E+12,3347.616409,18320,4527050,1447.304952,0
09/09/2021,1.63115E+12,0.0003143,0.0003232,0.0003126,0.0003178,6631863,1.63123E+12,2103.292275,11748,3528955,1120.466361,0
10/09/2021,1.63123E+12,0.0003178,0.000355,0.0003119,0.0003288,15117360,1.63132E+12,4992.308464,28619,7443191,2456.009231,0
11/09/2021,1.63132E+12,0.0003287,0.0003341,0.0003257,0.0003302,5308575,1.6314E+12,1749.447512,9163,2903386,956.7474487,0
12/09/2021,1.6314E+12,0.0003303,0.0003312,0.0003185,0.0003285,4450714,1.63149E+12,1443.33877,10138,2334901,757.056147,0
13/09/2021,1.63149E+12,0.0003286,0.0003319,0.000323,0.0003238,5745185,1.63158E+12,1880.038386,11292,2826298,925.7528294,0
14/09/2021,1.63158E+12,0.000324,0.0003265,0.0003175,0.0003191,4151147,1.63166E+12,1333.45116,7960,1985042,637.7580787,0
15/09/2021,1.63166E+12,0.0003191,0.0003222,0.0003101,0.0003103,4696892,1.63175E+12,1492.610052,10071,2231939,709.9270863,0
16/09/2021,1.63175E+12,0.0003103,0.0003131,0.0003037,0.0003056,5208620,1.63184E+12,1599.135495,9524,2875365,882.4322565,0
17/09/2021,1.63184E+12,0.0003055,0.0003164,0.0003046,0.0003135,5284090,1.63192E+12,1634.290212,8397,2669571,825.6156555,0
18/09/2021,1.63192E+12,0.0003135,0.0003161,0.000307,0.000313,4345560,1.63201E+12,1353.262298,7355,2176433,678.3586328,0
19/09/2021,1.63201E+12,0.000313,0.0003215,0.0003122,0.0003147,4155810,1.6321E+12,1317.258318,8938,2186188,693.2597314,0
20/09/2021,1.6321E+12,0.0003146,0.0003146,0.0002986,0.0003092,10822288,1.63218E+12,3306.906691,19282,5238522,1600.68899,0
21/09/2021,1.63218E+12,0.0003097,0.0003238,0.0003064,0.0003159,8376562,1.63227E+12,2625.27912,18058,4165795,1306.906079,0
22/09/2021,1.63227E+12,0.0003162,0.0003303,0.000313,0.0003259,7904633,1.63236E+12,2545.484675,19219,4016752,1294.469992,0
23/09/2021,1.63236E+12,0.0003259,0.0003285,0.0003134,0.0003176,4994810,1.63244E+12,1595.146611,10282,2880203,919.4462245,0
24/09/2021,1.63244E+12,0.0003177,0.0003263,0.0003164,0.0003225,5815389,1.63253E+12,1867.871592,12572,2866848,921.3915821,0
25/09/2021,1.63253E+12,0.0003225,0.000328,0.0003184,0.0003214,4786876,1.63261E+12,1548.548653,10298,2319673,751.5383888,0
26/09/2021,1.63261E+12,0.0003218,0.0003272,0.0003061,0.0003085,4815170,1.6327E+12,1525.241104,12054,2334686,739.9118911,0
27/09/2021,1.6327E+12,0.0003086,0.000325,0.0003059,0.0003151,4722355,1.63279E+12,1470.254909,9716,2364569,737.0833913,0
28/09/2021,1.63279E+12,0.0003151,0.0003227,0.0003151,0.0003183,5216281,1.63287E+12,1663.830211,10042,2729258,870.8690185,0
29/09/2021,1.63287E+12,0.0003184,0.0003397,0.0003141,0.0003248,7082727,1.63296E+12,2304.118057,14805,3452457,1124.068252,0
30/09/2021,1.63296E+12,0.0003252,0.0003255,0.0003122,0.0003177,4727537,1.63305E+12,1494.249763,10530,2354979,744.6974033,0
01/11/2021,1.63572E+12,0.0002595,0.0002627,0.0002496,0.0002526,8950115,1.63581E+12,2271.21108,11888,4192376,1064.573168,0
