date;close;quote_asset_volume;num_trades;taker_buy_quote_asset_volume
08/12/2020;0.00100644;4138.00234500;7732.00000000;2104.93666500
09/12/2020;0.00101546;10793.93931000;15695.00000000;4542.03470800
10/12/2020;0.00102298;7524.66535800;9244.00000000;2790.06199400
11/12/2020;0.00100904;15029.46974000;21039.00000000;6583.65097100
12/12/2020;0.00088917;19839.30860000;27941.00000000;9928.66850100
13/12/2020;0.00087013;7574.09019700;10761.00000000;4469.88446800
14/12/2020;0.00084817;3175.15078800;5987.00000000;1726.25969500
15/12/2020;0.00079377;5519.28211200;7927.00000000;2361.47875800
16/12/2020;0.00089383;9983.74404900;15911.00000000;5158.21944600
17/12/2020;0.00089828;16740.25601000;30715.00000000;7903.89445900
18/12/2020;0.00088976;5952.28936400;15954.00000000;2864.32763600
19/12/2020;0.00087551;4742.46413700;8647.00000000;2372.64221100
20/12/2020;0.00087132;4545.16013900;8826.00000000;2213.02569600
21/12/2020;0.00084544;4127.57903300;8965.00000000;1916.90983600
22/12/2020;0.00070074;19114.15573000;30528.00000000;8907.53156200
23/12/2020;0.00044991;42756.16022000;58564.00000000;19239.11833000
24/12/2020;0.00055425;24437.60409000;35657.00000000;11423.09853000
25/12/2020;0.00050679;21138.81398000;31755.00000000;9724.74330900
26/12/2020;0.00046221;9304.87170200;16499.00000000;4362.00868900
27/12/2020;0.00041469;8905.24135200;16172.00000000;4110.79938100
28/12/2020;0.00033929;12837.76576000;19801.00000000;6353.96808000
29/12/2020;0.00030356;19160.25471000;40000.00000000;8712.87687500
30/12/2020;0.00028135;8606.68730300;19815.00000000;3988.49555000
31/12/2020;0.00029834;5725.49156600;11400.00000000;2966.32898800
01/01/2021;0.00032531;8062.50469900;12472.00000000;3203.88943800
02/01/2021;0.00028553;5763.52416600;10494.00000000;2371.61415100
03/01/2021;0.00023092;11460.90884000;18225.00000000;4820.65084600
04/01/2021;0.00022710;9692.38440300;19907.00000000;3968.85440900
05/01/2021;0.00020563;5724.81380000;13700.00000000;2734.95272700
06/01/2021;0.00020587;9266.22420400;17591.00000000;4670.07163700
07/01/2021;0.00026446;19771.60028000;41116.00000000;8829.68599800
08/01/2021;0.00026303;8112.30389000;18023.00000000;3596.56502400
09/01/2021;0.00025498;5460.82819700;10614.00000000;2687.53620300
10/01/2021;0.00025139;4811.40090100;13421.00000000;2313.11593400
11/01/2021;0.00026436;7896.24490200;20101.00000000;4394.72189700
12/01/2021;0.00027875;3514.70596400;10382.00000000;1722.47145900
13/01/2021;0.00027072;2872.39849400;8768.00000000;1360.74933400
14/01/2021;0.00024111;6328.90752500;13898.00000000;2764.72955500
15/01/2021;0.00023930;2583.31575900;8036.00000000;1366.69283200
16/01/2021;0.00022678;2759.46991200;6912.00000000;1561.89299800
17/01/2021;0.00022456;1550.33064700;4506.00000000;878.91276580
18/01/2021;0.00022671;1847.19721700;4874.00000000;731.30006210
19/01/2021;0.00021518;6788.58885400;18986.00000000;3267.71647800
20/01/2021;0.00021428;3485.35902200;10276.00000000;1807.06638300
21/01/2021;0.00024106;3929.87142800;16912.00000000;2041.58801100
22/01/2021;0.00022098;4309.48676700;16132.00000000;2055.11495700
23/01/2021;0.00022032;1606.88978900;8769.00000000;685.12607310
24/01/2021;0.00019640;2402.04128100;10402.00000000;1129.62582200
25/01/2021;0.00020300;2466.50207500;13321.00000000;1164.47392300
26/01/2021;0.00019627;2557.17643700;12637.00000000;1414.91384800
